Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 19:57:00.0,2596.75,2597.75,2595.5,2595.75,933,547,557,376
2/8/18, 20:00:00.0,2595.75,2596,2591.25,2591.25,2105,1301,1364,741
2/8/18, 20:03:00.0,2591.5,2592.75,2587.5,2590.5,2415,1585,1282,1133
2/8/18, 20:06:00.0,2591,2591.75,2589.5,2590.25,1333,822,744,589
2/8/18, 20:09:00.0,2590.5,2591.5,2586,2586.5,1317,767,696,621
2/8/18, 20:12:00.0,2586.25,2587,2585,2586,1330,914,728,602
2/8/18, 20:15:00.0,2586,2591.75,2585,2591.5,1762,1108,726,1036
2/8/18, 20:18:00.0,2591.5,2593,2589.5,2592.5,1225,821,622,603
2/8/18, 20:21:00.0,2592.25,2592.25,2591,2591,646,379,307,339
2/8/18, 20:24:00.0,2591.25,2594.75,2591,2592.75,1007,611,379,628
2/8/18, 20:27:00.0,2593,2593.5,2589.5,2591,709,496,358,351
2/8/18, 20:30:00.0,2591.25,2593.5,2590.25,2590.5,1213,667,560,653
2/8/18, 20:33:00.0,2590.5,2591.25,2588,2590.75,1071,727,600,471
2/8/18, 20:36:00.0,2590.5,2593.5,2589.75,2592.25,979,569,540,439
2/8/18, 20:39:00.0,2592,2593.5,2590.25,2591,786,406,393,393
2/8/18, 20:42:00.0,2591.25,2597,2590.75,2596,1226,822,361,865
2/8/18, 20:45:00.0,2596.25,2596.25,2592,2593.75,666,525,375,291
2/8/18, 20:48:00.0,2593.75,2594.5,2590.25,2591,874,530,435,439
2/8/18, 20:51:00.0,2591,2593,2590.25,2592.25,487,331,224,263
2/8/18, 20:54:00.0,2592.25,2593.5,2590.5,2591,699,445,410,289
2/8/18, 20:57:00.0,2591.75,2592,2590.5,2591,296,238,172,124
2/8/18, 21:00:00.0,2590.75,2594.5,2590.5,2594.25,1007,586,381,626
2/8/18, 21:03:00.0,2594.5,2595.5,2591.75,2594.5,1050,705,546,504
2/8/18, 21:06:00.0,2594.5,2597.25,2594.5,2596.5,1169,729,519,650
2/8/18, 21:09:00.0,2596.75,2599.25,2596.75,2598,1028,674,549,479
2/8/18, 21:12:00.0,2598.25,2599,2597.75,2598.75,691,361,457,234
2/8/18, 21:15:00.0,2598.5,2598.75,2597.25,2598.5,361,255,231,130
